event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
1,2025-01-15,08:30,RA-89001,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Шереметьево,Нет,Обнаружено повреждение при техническом обслуживании
2,15.01.2025,14.05,VQ-BAB, аэрофлот ,повреждение вс,АПС,Перрон 5,Шереметьево,Минимальные,Выявлено повреждение при осмотре воздушного судна
3,2025/01/18,0915,RA-73456,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 12,Домодедово,Нет,Обнаружено отклонение от установленного порядка работ
4,2025-01-20,22:40,VQ-BAC,S7,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен посторонний предмет на рабочей зоне
5,20.01.2025,07:25,RA-55432,Победаа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Внуково,Незначительные,Нарушение требований перед началом обслуживания
6,2025-01-22,12:10,VQ-BAD,РОССИЯ,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Обнаружено повреждение элемента конструкции
7,2025-01-25,18:45,RA-99876,Россия ,Отклонение от регламента,Аэродромно-производственное событие,Перрон 4,Домодедово,Минимальные,Выявлено несоответствие документации
8,25/01/2025,0830,VQ-BAE,Aeroflot,повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Повреждение выявлено во время осмотра
9,2025-01-28,16:20,RA-11223,С7 Airlines,Постороннии предмет,Аэродромно-производственное событие,Рулежная дорожка,Внуково,Нет,Обнаружен посторонний объект на покрытии
10,28.01.2025,09:00,VQ-BAF,S7 airlines,Нарушение процедуры,АПС,Перрон 2,Шереметьево,Незначительные,Зафиксировано нарушение процедуры обслуживания
11,2025-02-01,10:15,RA-22334,АЭРОФЛОТ,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Шереметьево,Нет,Обнаружено повреждение при осмотре
12,2025-02-03,13:30,VQ-BAG,АэрофлОт,Отклонение от регламента,АПС,Стоянка 5,Домодедово,Минимальные,Выявлено отклонение от требований
13,03.02.2025,07.45,RA-33445,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Внуково,Нет,Обнаружен инструмент в зоне обслуживания
14,2025/02/05,1810,VQ-BAH,победа,Нарушение процедуры,АПС,Перрон 8,Шереметьево,Нет,Нарушены правила выполнения работ
15,2025-02-07,23:20,RA-44556,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Стоянка 9,Домодедово,Минимальные,Выявлено повреждение панели
16,07.02.2025,06:50,VQ-BAI, Уральские авиалинии ,повреждение вс,АПС,Перрон 10,Шереметьево,Нет,Обнаружен дефект оборудования
17,2025-02-10,11:00,RA-55667,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-1,Домодедово,Незначительные,Нарушение порядка выполнения операций
18,2025-02-12,15:35,VQ-BAJ,Аэрофлот,Посторонний предмет,АПС,,Шереметьево,Нет,Обнаружен посторонний предмет
